condition,feature,train_fragment,test_fragment,auc,balanced_accuracy,same_fragment,same_scroll
raw,depth_gradient_mag,frag1,frag1,0.6896,0.5021,True,True
raw,depth_gradient_mag,frag1,frag2,0.5759,0.499,False,True
raw,depth_gradient_mag,frag1,frag3,0.592,0.5034,False,False
raw,depth_gradient_mag,frag2,frag1,0.6896,0.5,False,True
raw,depth_gradient_mag,frag2,frag2,0.5759,0.5,True,True
raw,depth_gradient_mag,frag2,frag3,0.592,0.5,False,False
raw,depth_gradient_mag,frag3,frag1,0.6896,0.5,False,False
raw,depth_gradient_mag,frag3,frag2,0.5759,0.5,False,False
raw,depth_gradient_mag,frag3,frag3,0.592,0.5,True,True
raw,max_depth_gradient,frag1,frag1,0.6941,0.5017,True,True
raw,max_depth_gradient,frag1,frag2,0.5915,0.4985,False,True
raw,max_depth_gradient,frag1,frag3,0.5863,0.5102,False,False
raw,max_depth_gradient,frag2,frag1,0.6941,0.5,False,True
raw,max_depth_gradient,frag2,frag2,0.5915,0.5,True,True
raw,max_depth_gradient,frag2,frag3,0.5863,0.5,False,False
raw,max_depth_gradient,frag3,frag1,0.6941,0.5,False,False
raw,max_depth_gradient,frag3,frag2,0.5915,0.5,False,False
raw,max_depth_gradient,frag3,frag3,0.5863,0.5,True,True
raw,depth_variance,frag1,frag1,0.659,0.5022,True,True
raw,depth_variance,frag1,frag2,0.5731,0.5002,False,True
raw,depth_variance,frag1,frag3,0.5802,0.4996,False,False
raw,depth_variance,frag2,frag1,0.659,0.5,False,True
raw,depth_variance,frag2,frag2,0.5731,0.5,True,True
raw,depth_variance,frag2,frag3,0.5802,0.5,False,False
raw,depth_variance,frag3,frag1,0.659,0.5004,False,False
raw,depth_variance,frag3,frag2,0.5731,0.5003,False,False
raw,depth_variance,frag3,frag3,0.5802,0.5,True,True
raw,depth_range,frag1,frag1,0.679,0.502,True,True
raw,depth_range,frag1,frag2,0.5815,0.4993,False,True
raw,depth_range,frag1,frag3,0.5882,0.4996,False,False
raw,depth_range,frag2,frag1,0.679,0.5,False,True
raw,depth_range,frag2,frag2,0.5815,0.5,True,True
raw,depth_range,frag2,frag3,0.5882,0.5,False,False
raw,depth_range,frag3,frag1,0.679,0.5,False,False
raw,depth_range,frag3,frag2,0.5815,0.5,False,False
raw,depth_range,frag3,frag3,0.5882,0.5,True,True
paganin_db200,depth_gradient_mag,frag1,frag1,0.8321,0.5084,True,True
paganin_db200,depth_gradient_mag,frag1,frag2,0.7147,0.4997,False,True
paganin_db200,depth_gradient_mag,frag1,frag3,0.7516,0.5048,False,False
paganin_db200,depth_gradient_mag,frag2,frag1,0.8321,0.5117,False,True
paganin_db200,depth_gradient_mag,frag2,frag2,0.7147,0.4999,True,True
paganin_db200,depth_gradient_mag,frag2,frag3,0.7516,0.5046,False,False
paganin_db200,depth_gradient_mag,frag3,frag1,0.8321,0.5027,False,False
paganin_db200,depth_gradient_mag,frag3,frag2,0.7147,0.5001,False,False
paganin_db200,depth_gradient_mag,frag3,frag3,0.7516,0.5028,True,True
paganin_db200,max_depth_gradient,frag1,frag1,0.8345,0.5124,True,True
paganin_db200,max_depth_gradient,frag1,frag2,0.7272,0.4998,False,True
paganin_db200,max_depth_gradient,frag1,frag3,0.7511,0.5077,False,False
paganin_db200,max_depth_gradient,frag2,frag1,0.8345,0.5132,False,True
paganin_db200,max_depth_gradient,frag2,frag2,0.7272,0.4998,True,True
paganin_db200,max_depth_gradient,frag2,frag3,0.7511,0.5075,False,False
paganin_db200,max_depth_gradient,frag3,frag1,0.8345,0.501,False,False
paganin_db200,max_depth_gradient,frag3,frag2,0.7272,0.4996,False,False
paganin_db200,max_depth_gradient,frag3,frag3,0.7511,0.504,True,True
paganin_db200,depth_variance,frag1,frag1,0.8167,0.5113,True,True
paganin_db200,depth_variance,frag1,frag2,0.7094,0.5006,False,True
paganin_db200,depth_variance,frag1,frag3,0.7437,0.504,False,False
paganin_db200,depth_variance,frag2,frag1,0.8167,0.5059,False,True
paganin_db200,depth_variance,frag2,frag2,0.7094,0.5005,True,True
paganin_db200,depth_variance,frag2,frag3,0.7437,0.5031,False,False
paganin_db200,depth_variance,frag3,frag1,0.8167,0.5101,False,False
paganin_db200,depth_variance,frag3,frag2,0.7094,0.5004,False,False
paganin_db200,depth_variance,frag3,frag3,0.7437,0.5034,True,True
paganin_db200,depth_range,frag1,frag1,0.8264,0.5065,True,True
paganin_db200,depth_range,frag1,frag2,0.7178,0.4993,False,True
paganin_db200,depth_range,frag1,frag3,0.7496,0.5038,False,False
paganin_db200,depth_range,frag2,frag1,0.8264,0.5048,False,True
paganin_db200,depth_range,frag2,frag2,0.7178,0.4995,True,True
paganin_db200,depth_range,frag2,frag3,0.7496,0.5021,False,False
paganin_db200,depth_range,frag3,frag1,0.8264,0.5012,False,False
paganin_db200,depth_range,frag3,frag2,0.7178,0.4993,False,False
paganin_db200,depth_range,frag3,frag3,0.7496,0.4997,True,True
paganin_db5000,depth_gradient_mag,frag1,frag1,0.8185,0.5096,True,True
paganin_db5000,depth_gradient_mag,frag1,frag2,0.7029,0.5001,False,True
paganin_db5000,depth_gradient_mag,frag1,frag3,0.7506,0.5027,False,False
paganin_db5000,depth_gradient_mag,frag2,frag1,0.8185,0.518,False,True
paganin_db5000,depth_gradient_mag,frag2,frag2,0.7029,0.5,True,True
paganin_db5000,depth_gradient_mag,frag2,frag3,0.7506,0.5052,False,False
paganin_db5000,depth_gradient_mag,frag3,frag1,0.8185,0.5041,False,False
paganin_db5000,depth_gradient_mag,frag3,frag2,0.7029,0.5,False,False
paganin_db5000,depth_gradient_mag,frag3,frag3,0.7506,0.5018,True,True
paganin_db5000,max_depth_gradient,frag1,frag1,0.8234,0.5098,True,True
paganin_db5000,max_depth_gradient,frag1,frag2,0.715,0.4998,False,True
paganin_db5000,max_depth_gradient,frag1,frag3,0.7495,0.508,False,False
paganin_db5000,max_depth_gradient,frag2,frag1,0.8234,0.517,False,True
paganin_db5000,max_depth_gradient,frag2,frag2,0.715,0.4998,True,True
